unit	age	geo	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC	Y_GE65	IS	18.1	19.0	17.2 	20.0 	20.6 	22.3 	20.8 	22.4 	22.2 	19.0 	18.4 	18.9 	19.8 	21.3 
PC	Y_GE65	IT	14.9	12.7	10.9 	:	:	:	37.6 	: 	: 	: 	36.9 	: 	: 	: 
PC	Y_GE65	LT	7.6	9.8	5.4 	8.8 	9.9 	12.3 	14.7 	11.2 	8.7 	6.0 	4.8	8.4 	14.7 	17.1 
PC	Y_GE65	LU	: 	: 	33.3 	: 	: 	: 	30.8 	: 	: 	: 	: 	: 	: 	: 
PC	Y_GE65	LV	13.1	14.0	15.2	18.1	19.1	17.8	15.7 	: 	: 	: 	16.9 	: 	: 	: 
PC	Y_GE65	ME	: 	: 	: 	: 	: 	: 	12.4 	: 	: 	: 	: 	: 	: 	: 
PC	Y_GE65	MK	: 	: 	: 	: 	: 	: 	37.6 	: 	: 	: 	: 	: 	: 	: 
PC	Y_GE65	MT	14.2	12.0	12.9	10.8	24.1	21.1	20	17.8	16.1	15	10.0 	13.9 	20.2 	27.4 
PC	Y_GE65	NL	14.5	13.8	17.9 	17.7 	17.7 	18.7 	19.4 	19.3 	18.0 	18.5 	11.6 	10.8 	11.3 	11.0 
PC	Y_GE65	NO	16.2	15.9	20.2 	19.7 	19.6 	21.1 	17.5 	18.3 	18.0 	20.1 	19.6 	20.6 	19.2 	: 
PC	Y_GE65	PL	9.1 	5.7 	2.3 	-17.9 	-16.5 	-10.7 	-4.9 	5.1	15.1 	10.3 	5.4 	15.3 	25.1 	35.0 
PC	Y_GE65	PT	25.6	27.8	29.7 	34.6 	38.1 	41.0 	42.8 	36.7 	38.7 	32.3 	36.5 	39.7 	33.6 	40.2 
PC	Y_GE65	RO	-17.8	-17.8	-16.8 	-8.1	0.3	8.9	18.0 	20.5 	23.0 	25.6 	28.1 	8.7	7	5.3
PC	Y_GE65	RS	: 	: 	-10.9 	: 	: 	: 	27.0 	: 	: 	: 	: 	: 	: 	: 
PC	Y_GE65	SE	10.3 	11.7 	12.1 	12.8 	14.8 	16.6 	13.4 	: 	: 	: 	19.8 	0.0 	0.0 	: 
PC	Y_GE65	SI	3.9	5.1	2.7 	6.1 	6.6 	3.6 	4.3 	-3.6 	-5.3 	3.2 	7.3 	0.0 	6.2 	12.4 
PC	Y_GE65	SK	12.7 	11.7 	14.9 	24.4 	20.6 	20.5 	17.7 	14.0 	19.3 	17.9 	6.7 	17.0 	16.7 	: 
PC	Y_GE65	TR	: 	: 	: 	: 	: 	: 	25.7 	: 	: 	: 	: 	: 	: 	: 
PC	Y_GE65	UK	: 	: 	23.6 	24.8 	26.2 	28.4 	26.2 	27.0 	30.7 	28.7 	28.1	27.2 	22.0 	27.8 
PC	Y_LT25	AL	: 	: 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PC	Y_LT25	AT	: 	: 	7.7 	: 	: 	: 	8.7 	: 	: 	: 	8.6 	: 	: 	: 
PC	Y_LT25	BE	0.4	0.9	1.0 	0.0 	-0.8 	-1.4 	-2.3 	-0.8 	0.5 	1.9 	3.0 	2.9 	3.0 	3.0 
PC	Y_LT25	BG	6.6	8.2	8.0 	8.0 	8.0 	8.4 	6.7 	6.8 	7.8 	5.9 	5.8 	6.5 	6.0 	6.2 
PC	Y_LT25	CH	3.7	4.0	4.1 	4.0 	3.8 	4.3 	4.0 	4.3 	4.2 	4.4 	3.7 	3.9	3.9	: 
PC	Y_LT25	CY	17.0	13.9	13.3 	10.8 	8.4 	6.0 	5.4 	4.6 	5.1 	6.3 	6.2 	7.8 	11.4 	: 
PC	Y_LT25	CZ	5.7	9.5	10.4	11.1	11.3	12	12.4 	11.7 	9.8 	8.7 	7.6 	10.3 	12.1 	: 
PC	Y_LT25	DE	: 	: 	6.0 	: 	: 	: 	5.9 	: 	: 	: 	2.3 	: 	: 	: 
